,Dim,Time,Algorithm
0,5,2326.628059387207,Fairlet
1,5,2328.9449079036713,Fairlet
2,5,2323.263245820999,Fairlet
3,5,2326.1564581394196,Fairlet
4,5,2325.5340659618378,Fairlet
5,10,2331.9621756076813,Fairlet
6,10,2321.1647861003876,Fairlet
7,10,2318.7203760147095,Fairlet
8,10,2320.004472732544,Fairlet
9,10,2328.4073774814606,Fairlet
10,50,2324.470620393753,Fairlet
11,50,2319.9548230171204,Fairlet
12,50,2440.165137529373,Fairlet
13,50,2319.4840881824493,Fairlet
14,50,2314.7372958660126,Fairlet
15,100,2318.4848594665527,Fairlet
16,100,2327.1076214313507,Fairlet
17,100,2319.9742941856384,Fairlet
18,100,2321.1088094711304,Fairlet
19,100,2336.475855588913,Fairlet
20,1000,2363.353514432907,Fairlet
21,1000,2383.7784724235535,Fairlet
22,1000,2359.9588696956635,Fairlet
23,1000,2368.1448681354523,Fairlet
24,1000,2369.201188802719,Fairlet
