,k,Time,Algorithm
0,2,2418.668241262436,Fairlet
1,2,2411.0871212482452,Fairlet
2,2,2397.0075709819794,Fairlet
3,2,2410.077310562134,Fairlet
4,2,2408.584469795227,Fairlet
5,3,2412.943297624588,Fairlet
6,3,2415.5755150318146,Fairlet
7,3,2416.4018635749817,Fairlet
8,3,2412.165072441101,Fairlet
9,3,2409.284759044647,Fairlet
10,4,2408.548604249954,Fairlet
11,4,2415.319585800171,Fairlet
12,4,2417.2558727264404,Fairlet
13,4,2416.5935804843903,Fairlet
14,4,2427.3841598033905,Fairlet
15,5,2409.6364130973816,Fairlet
16,5,2412.971292734146,Fairlet
17,5,2420.8916761875153,Fairlet
18,5,2411.882045507431,Fairlet
19,5,2421.925685405731,Fairlet
20,6,2414.082317352295,Fairlet
21,6,2424.1426751613617,Fairlet
22,6,2419.981676340103,Fairlet
23,6,2422.441253423691,Fairlet
24,6,2423.094471216202,Fairlet
25,7,2420.633541584015,Fairlet
26,7,2415.2699205875397,Fairlet
27,7,2413.5308463573456,Fairlet
28,7,2407.4565336704254,Fairlet
29,7,2419.6151938438416,Fairlet
30,8,2416.0993525981903,Fairlet
31,8,2423.9066898822784,Fairlet
32,8,2404.321572780609,Fairlet
33,8,2425.0033667087555,Fairlet
34,8,2411.6564984321594,Fairlet
35,9,2403.2657294273376,Fairlet
36,9,2405.6659269332886,Fairlet
37,9,2411.797507047653,Fairlet
38,9,2424.433925151825,Fairlet
39,9,2396.6756155490875,Fairlet
