,n,Time,Algorithm
0,100,0.38466477394104004,Fairlet
1,100,0.3792400360107422,Fairlet
2,100,0.37741804122924805,Fairlet
3,100,0.37743377685546875,Fairlet
4,100,0.37924838066101074,Fairlet
5,200,2.6438255310058594,Fairlet
6,200,2.6094303131103516,Fairlet
7,200,2.6253116130828857,Fairlet
8,200,2.700599431991577,Fairlet
9,200,2.6153512001037598,Fairlet
10,500,39.384093284606934,Fairlet
11,500,38.92022490501404,Fairlet
12,500,38.89707112312317,Fairlet
13,500,38.91233158111572,Fairlet
14,500,38.855305671691895,Fairlet
15,1000,295.0137634277344,Fairlet
16,1000,295.82035303115845,Fairlet
17,1000,295.2868456840515,Fairlet
18,1000,296.3400354385376,Fairlet
19,1000,299.85656571388245,Fairlet
20,2000,2338.7250497341156,Fairlet
21,2000,2336.957789182663,Fairlet
22,2000,2344.065608739853,Fairlet
23,2000,2340.804582595825,Fairlet
24,2000,2336.1009709835052,Fairlet
