,n,Time,Algorithm
0,100,0.11800861358642578,FairDen
1,100,0.1281890869140625,FairDen
2,100,0.10183167457580566,FairDen
3,100,0.08579421043395996,FairDen
4,100,0.11957144737243652,FairDen
5,200,0.18977999687194824,FairDen
6,200,0.19821834564208984,FairDen
7,200,0.11705803871154785,FairDen
8,200,0.20205307006835938,FairDen
9,200,0.1144254207611084,FairDen
10,500,0.41729092597961426,FairDen
11,500,0.448197603225708,FairDen
12,500,0.4871199131011963,FairDen
13,500,0.43288540840148926,FairDen
14,500,0.43256711959838867,FairDen
15,1000,1.0845789909362793,FairDen
16,1000,1.053525686264038,FairDen
17,1000,1.0525720119476318,FairDen
18,1000,1.195225477218628,FairDen
19,1000,1.1286578178405762,FairDen
20,2000,4.275006532669067,FairDen
21,2000,4.258471488952637,FairDen
22,2000,4.264491558074951,FairDen
23,2000,4.24705958366394,FairDen
24,2000,4.313952445983887,FairDen
25,5000,50.586623191833496,FairDen
26,5000,50.76102828979492,FairDen
27,5000,50.27335596084595,FairDen
28,5000,50.454166889190674,FairDen
29,5000,49.68113613128662,FairDen
30,10000,318.82501316070557,FairDen
31,10000,323.38589572906494,FairDen
32,10000,321.43715596199036,FairDen
33,10000,315.68894505500793,FairDen
34,10000,309.3105766773224,FairDen
