,k,Time,Algorithm
0,2,0.10555505752563477,Scalable
1,2,0.11212658882141113,Scalable
2,2,0.16130447387695312,Scalable
3,2,0.10986137390136719,Scalable
4,2,0.11232829093933105,Scalable
5,2,4.681365728378296,FairSC_normalized
6,2,4.482600688934326,FairSC_normalized
7,2,4.413247346878052,FairSC_normalized
8,2,4.523693799972534,FairSC_normalized
9,2,4.4362757205963135,FairSC_normalized
10,2,0.6699905395507812,FairSC
11,2,0.7062687873840332,FairSC
12,2,0.6717920303344727,FairSC
13,2,0.6717932224273682,FairSC
14,2,0.7060961723327637,FairSC
15,3,0.09501075744628906,Scalable
16,3,0.11200690269470215,Scalable
17,3,0.11135268211364746,Scalable
18,3,0.1692042350769043,Scalable
19,3,0.11245226860046387,Scalable
20,3,4.564769268035889,FairSC_normalized
21,3,4.490142583847046,FairSC_normalized
22,3,4.503069877624512,FairSC_normalized
23,3,4.5077879428863525,FairSC_normalized
24,3,4.490032911300659,FairSC_normalized
25,3,0.6769669055938721,FairSC
26,3,0.6672372817993164,FairSC
27,3,0.6542816162109375,FairSC
28,3,0.663048267364502,FairSC
29,3,0.679652214050293,FairSC
30,4,0.09011149406433105,Scalable
31,4,0.11135268211364746,Scalable
32,4,0.11104965209960938,Scalable
33,4,0.1627664566040039,Scalable
34,4,0.10919427871704102,Scalable
35,4,4.61087703704834,FairSC_normalized
36,4,4.517796039581299,FairSC_normalized
37,4,4.526058197021484,FairSC_normalized
38,4,4.5685834884643555,FairSC_normalized
39,4,4.5570104122161865,FairSC_normalized
40,4,0.6890122890472412,FairSC
41,4,0.668712854385376,FairSC
42,4,0.664064884185791,FairSC
43,4,0.6856489181518555,FairSC
44,4,0.6736693382263184,FairSC
45,5,0.09272027015686035,Scalable
46,5,0.08822178840637207,Scalable
47,5,0.0891571044921875,Scalable
48,5,0.08872437477111816,Scalable
49,5,0.1446850299835205,Scalable
50,5,5.050112247467041,FairSC_normalized
51,5,4.972304105758667,FairSC_normalized
52,5,4.975442409515381,FairSC_normalized
53,5,4.967440605163574,FairSC_normalized
54,5,5.1290435791015625,FairSC_normalized
55,5,1.272336721420288,FairSC
56,5,1.2381038665771484,FairSC
57,5,1.2536063194274902,FairSC
58,5,1.2008438110351562,FairSC
59,5,1.2527503967285156,FairSC
60,6,0.09343647956848145,Scalable
61,6,0.11142253875732422,Scalable
62,6,0.11003541946411133,Scalable
63,6,0.11226558685302734,Scalable
64,6,0.11160492897033691,Scalable
65,6,5.216663360595703,FairSC_normalized
66,6,5.158473253250122,FairSC_normalized
67,6,4.9469153881073,FairSC_normalized
68,6,4.905348062515259,FairSC_normalized
69,6,5.075118064880371,FairSC_normalized
70,6,1.1492125988006592,FairSC
71,6,1.1732368469238281,FairSC
72,6,1.263136386871338,FairSC
73,6,1.2108044624328613,FairSC
74,6,1.2198553085327148,FairSC
75,7,0.14441609382629395,Scalable
76,7,0.11058521270751953,Scalable
77,7,0.11149716377258301,Scalable
78,7,0.11247992515563965,Scalable
79,7,0.11187982559204102,Scalable
80,7,5.187002658843994,FairSC_normalized
81,7,5.096773862838745,FairSC_normalized
82,7,5.067663908004761,FairSC_normalized
83,7,5.18863582611084,FairSC_normalized
84,7,5.143698215484619,FairSC_normalized
85,7,1.2431795597076416,FairSC
86,7,1.201444149017334,FairSC
87,7,1.1018941402435303,FairSC
88,7,1.2208054065704346,FairSC
89,7,1.1877391338348389,FairSC
90,8,0.09061360359191895,Scalable
91,8,0.16129827499389648,Scalable
92,8,0.10816669464111328,Scalable
93,8,0.11055874824523926,Scalable
94,8,0.11000418663024902,Scalable
95,8,5.148852109909058,FairSC_normalized
96,8,5.122259616851807,FairSC_normalized
97,8,4.999188661575317,FairSC_normalized
98,8,5.022381544113159,FairSC_normalized
99,8,4.961317539215088,FairSC_normalized
100,8,1.2696127891540527,FairSC
101,8,1.253326416015625,FairSC
102,8,1.1518597602844238,FairSC
103,8,1.2361204624176025,FairSC
104,8,1.1300971508026123,FairSC
105,9,0.10021519660949707,Scalable
106,9,0.11394190788269043,Scalable
107,9,0.15674972534179688,Scalable
108,9,0.09445428848266602,Scalable
109,9,0.09412503242492676,Scalable
110,9,5.036088466644287,FairSC_normalized
111,9,5.104182958602905,FairSC_normalized
112,9,5.064261198043823,FairSC_normalized
113,9,5.195409774780273,FairSC_normalized
114,9,5.04857873916626,FairSC_normalized
115,9,1.2134857177734375,FairSC
116,9,1.1955618858337402,FairSC
117,9,1.1817972660064697,FairSC
118,9,1.228992223739624,FairSC
119,9,1.2017848491668701,FairSC
