,k,Time,Algorithm,Dataset
0,2,0.09406113624572754,Scalable,0
1,2,4.4145448207855225,FairSC_normalized,0
2,2,0.7287919521331787,FairSC,0
3,3,0.09282326698303223,Scalable,0
4,3,4.388982534408569,FairSC_normalized,0
5,3,0.7105977535247803,FairSC,0
6,4,0.09523653984069824,Scalable,0
7,4,4.411176919937134,FairSC_normalized,0
8,4,0.7298576831817627,FairSC,0
9,5,0.09250402450561523,Scalable,0
10,5,4.766941547393799,FairSC_normalized,0
11,5,1.2954015731811523,FairSC,0
12,6,0.0961763858795166,Scalable,0
13,6,4.849085807800293,FairSC_normalized,0
14,6,1.270045280456543,FairSC,0
15,7,0.1507868766784668,Scalable,0
16,7,4.991682529449463,FairSC_normalized,0
17,7,1.1790506839752197,FairSC,0
18,8,0.09117484092712402,Scalable,0
19,8,5.033777236938477,FairSC_normalized,0
20,8,1.2272756099700928,FairSC,0
21,9,0.09951996803283691,Scalable,0
22,9,4.933968782424927,FairSC_normalized,0
23,9,1.2805094718933105,FairSC,0
24,2,0.09169387817382812,Scalable,1
25,2,4.3960301876068115,FairSC_normalized,1
26,2,0.724348783493042,FairSC,1
27,3,0.0887899398803711,Scalable,1
28,3,4.429962635040283,FairSC_normalized,1
29,3,0.7083814144134521,FairSC,1
30,4,0.09306812286376953,Scalable,1
31,4,4.541209697723389,FairSC_normalized,1
32,4,0.7512502670288086,FairSC,1
33,5,0.14599609375,Scalable,1
34,5,4.958259344100952,FairSC_normalized,1
35,5,1.2009024620056152,FairSC,1
36,6,0.09753537178039551,Scalable,1
37,6,4.987671136856079,FairSC_normalized,1
38,6,1.2570898532867432,FairSC,1
39,7,0.09458518028259277,Scalable,1
40,7,4.910805940628052,FairSC_normalized,1
41,7,1.251051425933838,FairSC,1
42,8,0.10374617576599121,Scalable,1
43,8,4.8720598220825195,FairSC_normalized,1
44,8,1.2798640727996826,FairSC,1
45,9,0.09729862213134766,Scalable,1
46,9,4.988118648529053,FairSC_normalized,1
47,9,1.2456252574920654,FairSC,1
48,2,0.09375143051147461,Scalable,2
49,2,4.527454614639282,FairSC_normalized,2
50,2,0.753575325012207,FairSC,2
51,3,0.14574885368347168,Scalable,2
52,3,4.436688661575317,FairSC_normalized,2
53,3,0.7402470111846924,FairSC,2
54,4,0.1033942699432373,Scalable,2
55,4,4.40695858001709,FairSC_normalized,2
56,4,0.7405381202697754,FairSC,2
57,5,0.0952301025390625,Scalable,2
58,5,4.97247314453125,FairSC_normalized,2
59,5,1.2578017711639404,FairSC,2
60,6,0.0950160026550293,Scalable,2
61,6,4.995521306991577,FairSC_normalized,2
62,6,1.2893705368041992,FairSC,2
63,7,0.09690284729003906,Scalable,2
64,7,5.116626977920532,FairSC_normalized,2
65,7,1.2549149990081787,FairSC,2
66,8,0.09495258331298828,Scalable,2
67,8,5.0463902950286865,FairSC_normalized,2
68,8,1.2571163177490234,FairSC,2
69,9,0.14939498901367188,Scalable,2
70,9,4.974517822265625,FairSC_normalized,2
71,9,1.2414653301239014,FairSC,2
72,2,0.09108138084411621,Scalable,3
73,2,4.497849941253662,FairSC_normalized,3
74,2,0.7127518653869629,FairSC,3
75,3,0.09094691276550293,Scalable,3
76,3,4.471131324768066,FairSC_normalized,3
77,3,0.7176809310913086,FairSC,3
78,4,0.09559941291809082,Scalable,3
79,4,4.429590225219727,FairSC_normalized,3
80,4,0.7275962829589844,FairSC,3
81,5,0.09502100944519043,Scalable,3
82,5,4.947077512741089,FairSC_normalized,3
83,5,1.2402868270874023,FairSC,3
84,6,0.09731316566467285,Scalable,3
85,6,4.984946966171265,FairSC_normalized,3
86,6,1.2477381229400635,FairSC,3
87,7,0.14838480949401855,Scalable,3
88,7,5.010181427001953,FairSC_normalized,3
89,7,1.1187777519226074,FairSC,3
90,8,0.10079073905944824,Scalable,3
91,8,4.931946039199829,FairSC_normalized,3
92,8,1.2553534507751465,FairSC,3
93,9,0.09755516052246094,Scalable,3
94,9,4.883578538894653,FairSC_normalized,3
95,9,1.2915022373199463,FairSC,3
96,2,0.0984644889831543,Scalable,4
97,2,4.517862319946289,FairSC_normalized,4
98,2,0.7555737495422363,FairSC,4
99,3,0.09689021110534668,Scalable,4
100,3,4.3839685916900635,FairSC_normalized,4
101,3,0.7102465629577637,FairSC,4
102,4,0.15718364715576172,Scalable,4
103,4,4.498916387557983,FairSC_normalized,4
104,4,0.7242946624755859,FairSC,4
105,5,0.10411620140075684,Scalable,4
106,5,5.074341535568237,FairSC_normalized,4
107,5,1.1956579685211182,FairSC,4
108,6,0.09210610389709473,Scalable,4
109,6,4.8763508796691895,FairSC_normalized,4
110,6,1.305156946182251,FairSC,4
111,7,0.09682750701904297,Scalable,4
112,7,4.938112258911133,FairSC_normalized,4
113,7,1.2446963787078857,FairSC,4
114,8,0.09615015983581543,Scalable,4
115,8,4.885261535644531,FairSC_normalized,4
116,8,1.25111722946167,FairSC,4
117,9,0.09786462783813477,Scalable,4
118,9,4.905920505523682,FairSC_normalized,4
119,9,1.280867338180542,FairSC,4
