,n,Time,Algorithm
0,100,0.005379915237426758,Scalable
1,100,0.005249500274658203,Scalable
2,100,0.005066394805908203,Scalable
3,100,0.004826545715332031,Scalable
4,100,0.005064487457275391,Scalable
5,100,0.054834842681884766,FairSC_normalized
6,100,0.09392333030700684,FairSC_normalized
7,100,0.11743426322937012,FairSC_normalized
8,100,0.13451409339904785,FairSC_normalized
9,100,0.1131584644317627,FairSC_normalized
10,100,0.0929863452911377,FairSC
11,100,0.1004331111907959,FairSC
12,100,0.09752225875854492,FairSC
13,100,0.0953211784362793,FairSC
14,100,0.10155987739562988,FairSC
15,200,0.009647369384765625,Scalable
16,200,0.010049104690551758,Scalable
17,200,0.009750127792358398,Scalable
18,200,0.009298086166381836,Scalable
19,200,0.009598493576049805,Scalable
20,200,0.1253659725189209,FairSC_normalized
21,200,0.1818852424621582,FairSC_normalized
22,200,0.0987088680267334,FairSC_normalized
23,200,0.15427899360656738,FairSC_normalized
24,200,0.15980076789855957,FairSC_normalized
25,200,0.11323070526123047,FairSC
26,200,0.11858630180358887,FairSC
27,200,0.09546113014221191,FairSC
28,200,0.10312843322753906,FairSC
29,200,0.11809015274047852,FairSC
30,500,0.02367424964904785,Scalable
31,500,0.023304224014282227,Scalable
32,500,0.023401498794555664,Scalable
33,500,0.022524118423461914,Scalable
34,500,0.023489713668823242,Scalable
35,500,0.40171384811401367,FairSC_normalized
36,500,0.4445943832397461,FairSC_normalized
37,500,0.4530801773071289,FairSC_normalized
38,500,0.45858287811279297,FairSC_normalized
39,500,0.5041670799255371,FairSC_normalized
40,500,0.15111970901489258,FairSC
41,500,0.15627026557922363,FairSC
42,500,0.14741086959838867,FairSC
43,500,0.1420433521270752,FairSC
44,500,0.1466658115386963,FairSC
45,1000,0.04678463935852051,Scalable
46,1000,0.04628729820251465,Scalable
47,1000,0.04603981971740723,Scalable
48,1000,0.045095205307006836,Scalable
49,1000,0.09944462776184082,Scalable
50,1000,1.2060601711273193,FairSC_normalized
51,1000,1.0842645168304443,FairSC_normalized
52,1000,1.1014699935913086,FairSC_normalized
53,1000,1.1756134033203125,FairSC_normalized
54,1000,1.1461529731750488,FairSC_normalized
55,1000,0.2505326271057129,FairSC
56,1000,0.24323797225952148,FairSC
57,1000,0.278888463973999,FairSC
58,1000,0.2601304054260254,FairSC
59,1000,0.2415158748626709,FairSC
60,2000,0.09521675109863281,Scalable
61,2000,0.11719870567321777,Scalable
62,2000,0.11718916893005371,Scalable
63,2000,0.1179344654083252,Scalable
64,2000,0.11517572402954102,Scalable
65,2000,4.510568380355835,FairSC_normalized
66,2000,4.405433893203735,FairSC_normalized
67,2000,4.414366245269775,FairSC_normalized
68,2000,4.367522954940796,FairSC_normalized
69,2000,4.41187047958374,FairSC_normalized
70,2000,0.682525634765625,FairSC
71,2000,0.6916971206665039,FairSC
72,2000,0.7003812789916992,FairSC
73,2000,0.6990172863006592,FairSC
74,2000,0.7159395217895508,FairSC
75,5000,0.3189847469329834,Scalable
76,5000,0.26029205322265625,Scalable
77,5000,0.3111917972564697,Scalable
78,5000,0.2610507011413574,Scalable
79,5000,0.2687256336212158,Scalable
80,5000,53.78315734863281,FairSC_normalized
81,5000,53.77357745170593,FairSC_normalized
82,5000,53.96002197265625,FairSC_normalized
83,5000,53.98722243309021,FairSC_normalized
84,5000,54.283249378204346,FairSC_normalized
85,5000,6.04754638671875,FairSC
86,5000,5.818524599075317,FairSC
87,5000,6.014301538467407,FairSC
88,5000,6.010752439498901,FairSC
89,5000,6.380616188049316,FairSC
90,10000,0.7914524078369141,Scalable
91,10000,0.7328028678894043,Scalable
92,10000,0.728508710861206,Scalable
93,10000,0.6688601970672607,Scalable
94,10000,0.7266764640808105,Scalable
95,10000,353.0209872722626,FairSC_normalized
96,10000,355.97596979141235,FairSC_normalized
97,10000,352.08922719955444,FairSC_normalized
98,10000,361.186763048172,FairSC_normalized
99,10000,358.7987160682678,FairSC_normalized
100,10000,41.94577479362488,FairSC
101,10000,41.979774951934814,FairSC
102,10000,41.58291149139404,FairSC
103,10000,42.099326848983765,FairSC
104,10000,41.56013345718384,FairSC
105,20000,2.0319056510925293,Scalable
106,20000,2.096449136734009,Scalable
107,20000,2.035308599472046,Scalable
108,20000,1.7862484455108643,Scalable
109,20000,1.6903774738311768,Scalable
110,20000,2341.4259276390076,FairSC_normalized
111,20000,2356.2064986228943,FairSC_normalized
112,20000,2363.102511882782,FairSC_normalized
113,20000,2376.0741314888,FairSC_normalized
114,20000,2373.988135099411,FairSC_normalized
115,20000,291.66008734703064,FairSC
116,20000,290.95471453666687,FairSC
117,20000,290.64919877052307,FairSC
118,20000,289.17861247062683,FairSC
119,20000,289.12557458877563,FairSC
