,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_11_wo_cat,FairDEN_v1_min_pts_13_wo_cat,FairDEN_v1_min_pts_15_wo_cat,FairDEN_v1_min_pts_10_wo_cat
0,0,0,0,0,1,0
1,0,0,1,1,0,1
2,1,0,0,0,1,0
3,0,0,1,1,0,1
4,0,0,0,0,1,0
5,0,0,0,0,1,0
6,0,0,1,1,0,1
7,0,0,0,0,1,0
8,0,0,0,0,1,0
9,0,0,0,0,1,0
10,0,0,0,0,1,0
11,0,0,0,0,1,0
12,1,0,0,0,1,0
13,1,0,0,0,1,0
14,1,0,0,0,1,0
15,0,0,0,0,1,0
16,0,0,0,0,1,0
17,0,0,1,1,0,1
18,0,0,0,0,1,0
19,0,0,1,1,0,1
20,0,0,1,1,0,1
21,1,0,0,0,1,0
22,0,0,0,0,1,0
23,0,0,1,1,1,1
24,1,0,0,0,1,0
25,0,0,0,0,1,0
26,0,0,1,1,0,1
27,1,0,0,0,1,0
28,1,0,0,0,1,0
29,0,0,0,0,1,0
30,0,0,0,0,1,0
31,1,0,0,0,1,0
32,0,0,0,0,1,0
33,0,0,0,0,1,0
34,1,0,0,0,1,0
35,1,0,1,1,0,1
36,0,0,1,1,0,1
37,0,0,0,0,1,0
38,0,0,1,1,0,1
39,0,0,0,0,1,0
40,0,0,1,1,0,1
41,1,0,0,0,1,0
42,0,0,0,0,1,0
43,0,0,0,1,0,0
44,0,0,0,0,1,0
45,0,0,0,0,1,0
46,0,0,1,1,0,1
47,1,0,0,0,1,0
48,0,0,1,1,0,1
49,0,0,0,0,1,0
50,0,0,0,0,1,0
51,0,0,1,1,0,1
52,0,0,1,0,1,1
53,0,0,0,0,1,0
54,1,0,0,0,1,0
55,0,0,0,0,1,0
56,0,0,0,0,1,0
57,0,0,0,0,1,0
58,0,0,0,0,1,0
59,1,0,0,0,1,0
60,1,0,0,0,1,0
61,0,0,1,1,0,1
62,1,0,0,0,1,0
63,0,0,0,0,1,0
64,0,0,1,1,0,1
65,0,0,0,0,0,0
66,0,0,0,0,1,0
67,0,0,0,0,1,0
68,0,0,0,0,1,0
69,0,0,0,0,1,0
70,0,0,0,0,1,0
71,0,0,0,0,1,0
72,0,0,1,1,0,1
73,0,0,0,0,1,0
74,0,0,0,0,1,0
75,1,0,0,0,1,0
76,1,0,0,0,1,0
77,0,0,0,0,1,0
78,0,0,0,0,1,0
79,0,0,0,0,1,0
80,1,0,0,0,1,0
81,0,0,0,0,1,0
82,0,0,1,1,0,1
83,0,0,1,1,0,1
84,0,0,0,0,1,0
85,0,0,1,1,0,1
86,0,0,0,0,1,0
87,0,0,0,0,1,0
88,0,0,0,0,1,0
89,0,0,0,0,1,0
90,0,0,0,0,1,0
91,0,0,0,0,1,0
92,0,0,0,0,1,0
93,0,0,0,0,1,0
94,0,0,0,0,1,0
95,0,0,0,0,1,0
96,0,0,0,0,1,0
97,0,0,0,0,0,0
98,0,0,1,1,0,1
99,1,0,0,0,1,0
100,0,0,0,0,1,0
101,0,0,0,0,1,0
102,1,0,1,1,0,1
103,1,-1,1,1,0,1
104,0,0,0,0,1,0
105,1,0,0,0,1,0
106,0,0,0,0,1,0
107,0,0,1,1,0,1
108,0,0,0,0,1,0
109,0,0,0,0,1,0
110,0,-1,1,1,0,1
111,1,0,0,0,1,0
112,0,0,0,0,1,0
113,0,0,1,1,0,1
114,0,0,0,0,1,0
115,0,0,0,0,1,0
116,0,0,0,0,1,0
117,0,0,0,0,1,0
118,1,0,1,1,0,1
119,1,0,1,1,0,1
120,0,0,1,1,0,1
121,0,0,0,0,1,0
122,0,0,0,0,1,0
123,0,0,1,1,0,1
124,1,0,0,0,1,0
125,1,0,1,1,0,1
126,1,0,1,1,0,1
127,0,0,0,0,1,0
128,0,0,0,0,1,0
129,0,-1,1,1,0,1
130,0,0,1,1,0,1
131,0,0,0,0,1,0
132,0,0,0,0,1,0
133,0,0,0,0,1,0
134,0,0,0,0,1,0
135,0,0,0,0,1,0
136,0,0,0,0,1,0
137,0,0,1,1,0,1
138,0,0,0,0,1,0
139,0,0,0,0,1,0
140,0,0,1,1,0,1
141,0,0,0,0,1,0
142,0,0,1,1,0,1
143,0,0,0,0,1,0
144,1,0,0,0,1,0
145,0,0,0,0,1,0
146,0,0,0,0,1,0
147,0,0,0,0,1,0
148,1,0,0,0,1,0
149,0,0,0,0,1,0
150,0,0,1,1,0,1
151,0,0,0,0,1,0
152,0,0,0,0,1,0
153,0,0,0,0,1,0
154,1,0,0,0,1,0
155,0,0,0,0,1,0
156,1,0,1,1,0,1
157,0,0,0,0,1,0
158,0,0,0,0,1,0
159,0,0,0,0,1,0
160,0,0,1,1,0,1
161,0,0,0,0,1,0
162,1,0,1,1,0,1
163,0,0,0,0,1,0
164,0,0,0,0,1,0
165,1,0,0,0,1,0
166,0,0,0,0,1,0
167,0,0,1,1,0,1
168,0,0,0,0,1,0
169,0,0,0,0,1,0
170,0,0,0,0,1,0
171,0,0,0,0,1,0
172,0,0,1,1,0,1
173,0,0,0,0,1,0
174,1,0,0,0,1,0
175,0,0,1,1,0,1
176,0,0,0,0,1,0
177,0,0,1,1,0,1
