,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_11_wo_cat,FairDEN_v2_min_pts_11_wo_cat,FairDEN_v1_min_pts_13_wo_cat,FairDEN_v2_min_pts_13_wo_cat,FairDEN_v1_min_pts_15_wo_cat,FairDEN_v2_min_pts_15_wo_cat,FairDEN_v1_min_pts_10_wo_cat,FairDEN_v2_min_pts_10_wo_cat
0,0,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,1,1,0,1,0
2,0,0,1,1,1,0,0,1,0,1
3,1,0,0,0,1,0,1,0,1,0
4,1,0,0,0,0,1,1,0,1,0
5,0,0,1,1,1,0,0,1,0,1
6,0,0,0,0,0,1,1,0,1,0
7,0,0,0,0,0,1,1,0,1,0
8,0,0,0,0,0,1,1,0,1,0
9,1,0,1,1,1,0,0,1,0,1
10,0,0,0,0,0,1,1,0,1,0
11,0,0,0,0,0,1,1,0,1,0
12,0,0,0,0,0,1,1,0,1,0
13,1,0,0,0,0,1,1,0,1,0
14,0,0,1,1,1,0,0,1,0,1
15,0,0,1,1,1,0,0,1,0,1
16,0,0,0,0,0,1,1,0,1,0
17,0,0,0,0,0,1,1,0,1,0
18,0,0,0,0,0,1,1,0,1,0
19,1,0,0,0,0,1,1,0,1,0
20,0,0,0,0,0,1,1,0,1,0
21,0,0,1,1,1,0,0,1,0,1
22,0,0,1,1,1,0,0,1,0,1
23,0,0,0,0,0,1,1,0,1,0
24,1,0,0,0,0,1,1,0,1,0
25,0,-1,1,1,1,0,0,1,0,1
26,0,0,1,1,1,0,0,1,0,1
27,0,0,0,0,0,1,1,0,1,0
28,1,0,0,0,0,1,1,0,1,0
29,1,0,0,0,0,1,1,0,1,0
30,1,0,0,0,0,1,1,0,1,0
31,1,0,0,0,0,1,1,0,1,0
32,0,0,0,0,0,1,1,0,1,0
33,0,0,1,1,0,1,0,1,0,1
34,1,0,1,1,1,0,0,1,0,1
35,1,0,1,1,1,0,0,1,0,1
36,0,0,1,1,1,0,0,1,0,1
37,1,-1,1,1,1,0,0,1,0,1
38,0,0,1,1,1,0,0,1,0,1
39,0,0,1,1,1,0,1,0,0,1
40,0,0,1,1,1,0,0,1,0,1
41,1,0,0,0,0,1,1,0,1,0
42,0,0,0,0,0,1,1,0,1,0
43,0,0,0,0,0,1,1,0,1,0
44,0,0,0,0,0,1,1,0,1,0
45,1,0,1,1,1,0,0,1,0,1
46,0,0,1,1,1,0,1,0,0,1
47,0,0,1,1,1,0,0,1,0,1
48,0,0,1,1,1,0,0,1,0,1
49,0,0,1,1,1,0,0,1,0,1
50,0,0,0,0,0,1,1,0,1,0
51,0,0,0,0,0,1,1,0,1,0
52,1,0,1,1,1,0,0,1,0,1
53,0,0,0,0,0,1,1,0,1,0
54,1,0,0,0,0,1,1,0,1,0
55,0,0,0,0,0,1,1,0,1,0
56,1,0,0,0,0,1,1,0,1,0
57,0,0,1,1,1,0,0,1,0,1
58,1,0,0,0,0,1,1,0,1,0
59,1,0,0,0,0,1,1,0,1,0
60,0,0,0,0,0,1,1,0,1,0
