,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,Scalable2,FairDEN2,FairSC_normalized2,FairSC2,Fairlet_MCF Fairlet2,Scalable3,FairDEN3,FairSC_normalized3,FairSC3,Fairlet_MCF Fairlet3,Scalable4,FairDEN4,FairSC_normalized4,FairSC4,Fairlet_MCF Fairlet4,Scalable5,FairDEN5,FairSC_normalized5,FairSC5,Fairlet_MCF Fairlet5,Scalable6,FairDEN6,FairSC_normalized6,FairSC6,Fairlet_MCF Fairlet6,Scalable7,FairDEN7,FairSC_normalized7,FairSC7,Fairlet_MCF Fairlet7,Scalable8,FairDEN8,FairSC_normalized8,FairSC8,Fairlet_MCF Fairlet8,Scalable9,FairDEN9,FairSC_normalized9,FairSC9,Fairlet_MCF Fairlet9,Scalable10,FairDEN10,FairSC_normalized10,FairSC10,Fairlet_MCF Fairlet10
32022,0,19,57145,9,0,25,0,-1,0,0,0,1,0,1,0,2,1,2,3,1,0,2,2,2,1,3,1,0,1,5,5,2,0,3,6,2,4,3,6,5,6,5,6,3,5,4,2,2,2,1,7,6,0
19593,0,17,146268,6,0,10,0,-1,1,1,0,1,0,0,0,2,1,2,3,1,0,2,2,2,4,3,1,0,1,2,5,2,0,3,2,2,4,3,4,0,6,5,6,3,2,4,2,2,2,9,7,6,6
29624,0,50,46155,11,0,40,1,-1,0,0,0,1,0,1,0,2,1,2,1,1,0,0,2,0,1,4,3,0,0,5,4,4,0,4,6,4,3,3,1,5,7,4,6,5,5,7,1,2,9,1,9,0,0
38344,0,45,184441,4,0,42,0,-1,1,1,0,1,0,1,0,2,1,2,0,1,1,0,2,4,4,1,3,0,3,2,0,4,0,6,2,4,3,3,5,0,7,4,6,0,2,7,1,2,6,9,9,0,0
30748,0,34,228406,10,0,40,0,-1,1,0,0,1,0,0,1,2,1,2,2,0,0,0,2,2,2,4,3,0,5,4,4,4,0,5,1,6,2,3,3,1,3,0,6,1,8,3,1,2,8,7,8,3,0
30558,0,29,197565,11,0,35,0,-1,0,0,0,1,0,0,1,2,1,2,2,0,0,0,2,2,1,4,3,0,2,5,4,1,0,0,6,6,2,3,3,5,5,6,6,1,5,3,3,2,8,1,6,3,0
31869,0,55,118993,10,0,10,0,-1,1,1,0,1,0,1,0,2,1,1,0,1,0,0,2,0,3,1,3,2,0,2,4,4,0,4,5,4,2,3,1,7,7,4,4,5,7,7,1,2,9,3,9,0,1
45182,1,52,146015,9,0,40,0,-1,1,0,0,1,0,1,1,2,1,2,0,0,1,0,2,0,2,1,3,0,0,4,0,4,0,4,1,1,0,3,1,3,4,2,6,5,4,2,5,2,1,0,0,5,6
13035,1,19,198668,9,0,40,0,-1,1,0,0,1,0,0,1,0,2,2,2,0,2,1,2,2,2,2,2,0,2,4,2,3,0,3,1,5,1,3,3,3,0,3,6,7,8,8,4,2,8,7,3,8,0
24247,1,38,115289,9,0,40,0,-1,1,0,0,1,0,1,1,0,1,2,1,0,1,0,2,0,2,1,4,0,2,4,3,3,0,3,1,5,1,3,6,3,0,3,6,1,4,8,8,2,7,0,3,8,0
