,GroundTruth,GroundTruth_DB,FairDEN_v1_min_pts_27_wo_cat,FairDEN_v2_min_pts_27_wo_cat
0,0,0,0,0
1,0,0,0,0
2,1,0,1,1
3,1,0,0,0
4,1,0,4,2
5,1,0,1,1
6,1,-1,2,4
7,1,0,0,0
8,1,0,0,0
9,1,0,1,1
10,1,0,0,0
11,1,0,4,2
12,1,0,4,2
13,0,0,1,1
14,1,0,1,1
15,1,0,0,0
16,0,0,0,0
17,1,-1,3,3
18,1,0,0,0
19,1,0,0,0
20,1,0,4,2
21,0,0,0,0
22,0,0,0,0
23,0,0,4,2
24,1,0,1,1
25,1,0,0,0
26,0,0,0,0
27,1,0,0,0
28,1,0,4,2
29,1,0,0,0
30,1,-1,4,2
31,0,0,0,0
32,1,0,1,1
33,1,-1,2,4
34,1,0,4,2
35,1,0,1,1
36,1,0,1,1
37,1,0,4,2
38,0,0,0,0
39,1,0,1,1
40,1,-1,3,3
41,1,0,0,0
42,1,0,0,0
43,1,0,1,1
44,1,0,0,0
45,0,0,0,0
46,0,0,1,1
47,1,0,4,2
48,1,0,0,0
49,0,0,0,0
50,1,0,1,1
51,1,0,1,1
52,1,0,1,1
53,1,0,1,1
54,1,0,1,1
55,1,0,1,1
56,1,0,1,1
57,1,0,0,0
58,1,-1,4,2
59,0,0,1,1
60,1,0,1,1
61,0,0,0,0
62,0,0,1,1
63,1,0,0,0
64,0,-1,4,2
65,0,0,0,0
66,1,0,0,0
67,1,0,4,2
68,1,0,0,0
69,0,0,1,1
70,1,0,1,1
71,1,0,0,0
72,1,-1,2,4
73,1,0,0,0
74,1,0,0,0
75,1,0,0,0
76,0,0,0,0
77,0,0,0,0
78,1,-1,4,2
79,1,-1,2,4
80,0,0,0,0
81,1,0,4,2
82,1,0,0,0
83,1,-1,2,4
84,0,0,0,0
85,1,0,0,0
86,1,-1,4,2
87,1,0,0,0
88,0,0,1,1
89,1,0,0,0
90,1,0,1,1
91,1,0,1,1
92,1,0,0,0
93,1,0,1,1
94,1,-1,2,4
95,1,0,1,1
96,1,0,0,0
97,0,0,0,0
98,1,0,1,1
99,1,0,4,2
100,1,-1,2,4
101,0,0,0,0
102,1,0,0,0
103,1,0,1,1
104,1,0,0,0
105,1,0,1,1
106,1,-1,3,3
107,1,0,0,0
108,1,0,4,2
109,1,0,0,0
110,1,0,4,2
111,1,0,1,1
112,1,0,0,0
113,0,0,0,0
114,1,0,0,0
115,0,0,0,0
116,1,0,1,1
117,1,0,1,1
118,0,0,0,0
119,0,0,0,1
120,1,0,0,0
121,0,0,4,2
122,1,0,0,0
123,1,0,0,0
124,1,0,1,1
125,0,0,1,1
126,0,0,0,0
127,1,0,1,1
128,1,0,1,1
129,1,0,0,0
130,1,0,4,2
131,1,0,4,2
132,1,0,0,0
133,1,0,1,1
134,1,0,1,1
135,1,0,0,0
136,0,0,0,0
137,1,0,0,0
138,0,0,0,0
139,1,0,0,0
140,1,0,1,1
141,1,0,1,1
142,1,0,1,1
143,1,0,0,0
144,0,0,1,1
145,1,-1,2,4
146,1,0,0,0
147,1,0,4,2
148,1,0,1,1
149,1,0,4,2
150,1,0,0,0
151,1,-1,2,4
152,1,0,0,0
153,1,0,1,1
154,1,0,1,1
155,1,0,1,1
156,0,0,4,2
157,1,0,0,0
158,1,0,0,0
159,1,0,0,0
160,1,0,0,0
161,1,0,4,2
162,1,0,0,0
163,1,0,1,1
164,1,0,4,2
165,1,0,4,2
166,1,0,1,1
167,1,0,0,0
168,1,0,1,1
169,1,0,0,0
170,1,0,1,1
171,0,0,0,0
172,1,0,0,0
173,0,0,1,1
174,1,0,0,0
175,1,0,0,0
176,1,0,0,0
177,1,0,1,1
178,1,-1,4,2
179,1,0,1,1
180,1,-1,2,4
181,0,0,0,0
182,1,0,0,0
183,0,0,0,0
184,1,-1,2,4
185,0,0,4,2
186,1,0,1,1
187,1,0,0,0
188,1,0,1,1
189,0,0,0,0
190,1,0,1,1
191,1,0,4,2
192,1,0,4,2
193,0,0,0,0
194,1,0,0,0
195,1,0,1,1
196,1,0,1,1
197,0,0,0,0
198,1,0,0,0
199,1,0,4,2
200,1,0,1,1
201,1,0,1,1
202,1,0,4,2
203,1,0,4,2
204,1,0,0,0
205,0,0,0,0
206,0,0,0,0
207,1,0,1,1
208,1,-1,2,4
209,0,0,1,1
210,1,0,0,0
211,1,0,0,0
212,1,-1,2,4
213,1,0,0,0
214,0,0,0,0
215,1,0,1,0
216,1,0,1,1
217,1,0,0,0
218,0,0,4,2
219,1,1,4,2
220,1,-1,4,2
221,1,0,4,2
222,0,0,4,2
223,1,0,4,2
224,1,0,0,0
225,1,0,0,0
226,0,0,0,0
227,1,0,0,0
228,1,0,0,0
229,0,0,1,1
230,1,0,4,2
231,0,0,1,1
232,1,0,0,0
233,1,0,1,1
234,1,0,1,1
235,1,0,1,1
236,0,0,4,2
237,0,0,1,1
238,1,0,0,0
239,1,0,0,0
240,1,0,0,0
241,1,0,0,0
242,1,0,0,0
243,1,0,0,0
244,1,0,4,2
245,1,0,0,0
246,1,0,1,1
247,1,0,0,0
248,1,0,0,0
249,1,0,1,1
250,0,0,1,1
251,1,-1,2,4
252,1,0,1,1
253,1,0,0,0
254,1,0,4,2
255,1,0,4,2
256,1,0,1,1
257,0,0,4,2
258,1,-1,2,4
259,1,0,1,1
260,1,0,4,2
261,1,0,4,2
262,1,0,1,1
263,1,0,0,0
264,1,0,0,0
265,0,0,1,1
266,1,0,0,0
267,0,0,0,0
268,1,0,1,1
269,1,0,0,0
270,0,0,1,1
271,1,0,1,1
272,0,0,0,0
273,1,0,1,1
274,0,0,4,2
275,1,0,0,0
276,1,0,0,0
277,1,0,1,1
278,1,0,0,0
279,1,-1,2,4
280,1,0,1,1
281,1,0,0,0
282,1,0,4,2
283,1,-1,2,4
284,1,0,1,1
285,1,0,4,2
286,0,0,1,1
287,1,0,1,1
288,0,-1,3,3
289,0,0,0,0
290,1,0,0,0
291,0,0,0,0
292,1,0,0,0
293,1,0,1,1
294,1,0,0,0
295,1,0,1,1
296,1,0,1,1
297,0,0,1,1
298,1,0,1,1
299,1,-1,2,4
300,1,0,1,1
301,0,0,0,0
302,1,0,0,0
303,1,0,0,0
304,1,0,4,2
305,1,0,0,0
306,0,0,0,0
307,1,0,4,2
308,1,0,1,1
309,1,0,1,1
310,1,0,0,0
311,0,0,1,1
312,1,0,1,1
313,0,0,0,0
314,1,0,0,0
315,1,0,0,0
316,1,0,0,0
317,1,0,0,0
318,0,0,0,0
319,1,-1,2,4
320,1,0,0,0
321,0,0,1,1
322,1,0,4,2
323,1,0,4,2
324,0,0,0,0
325,0,0,0,0
326,1,-1,2,4
327,1,0,1,1
328,0,0,4,2
329,0,0,1,1
330,1,0,1,1
331,1,-1,4,2
332,1,0,0,0
333,1,0,1,1
334,1,0,1,1
335,1,0,0,0
336,0,0,0,0
337,1,0,1,1
338,1,0,0,0
339,1,0,0,0
340,1,0,1,1
341,1,-1,3,3
342,1,0,1,1
343,1,0,1,1
344,1,0,0,0
345,0,0,0,0
346,1,0,1,1
347,0,0,0,0
348,1,0,1,1
349,1,-1,2,4
350,0,0,0,0
351,1,0,1,1
352,1,0,0,0
353,0,0,1,1
354,1,0,1,1
355,1,0,4,2
356,1,0,1,0
357,1,-1,2,4
358,0,-1,2,4
359,1,0,1,1
360,1,0,1,1
361,0,0,0,0
362,1,0,0,0
363,1,0,1,1
364,1,0,1,1
365,1,0,0,0
366,1,0,0,0
367,0,0,0,0
368,0,0,1,1
369,1,-1,4,2
370,1,0,1,1
371,1,0,0,0
372,1,-1,2,4
373,1,0,0,0
374,1,0,0,0
375,1,0,1,1
376,1,0,1,1
377,0,0,1,1
378,1,0,1,1
379,0,0,0,0
380,1,0,4,2
381,0,0,0,0
382,1,0,1,1
383,1,-1,4,2
384,0,0,4,2
385,1,0,1,1
386,0,-1,2,4
387,1,0,0,0
388,0,0,4,2
389,1,0,1,1
390,1,0,1,1
391,1,0,4,2
392,1,0,1,1
393,1,0,1,1
394,1,0,0,0
395,1,0,1,1
396,1,0,1,1
397,1,-1,2,4
398,1,0,0,0
399,0,0,0,0
400,1,0,0,0
401,0,0,1,1
402,1,-1,2,4
403,1,0,1,1
404,1,-1,2,4
405,1,0,4,2
406,1,0,1,1
407,0,0,0,0
408,1,0,0,0
409,1,0,0,0
410,0,0,1,1
411,1,-1,2,4
412,1,0,1,1
413,1,0,1,1
414,1,0,0,0
415,1,0,0,0
416,0,0,0,0
