,gender,age,fnlwgt,education_num,capital_gain,hours_per_week,GroundTruth,GroundTruth_DB,FairDEN,Scalable,FairSC_normalized,FairSC
32022,0,19,57145,9,0,25,0,-1,1,0,0,1
19593,0,17,146268,6,0,10,0,-1,0,1,0,1
29624,0,50,46155,11,0,40,1,-1,1,0,0,1
38344,0,45,184441,4,0,42,0,-1,0,0,0,1
30748,0,34,228406,10,0,40,0,-1,1,1,0,1
30558,0,29,197565,11,0,35,0,-1,1,1,0,1
31869,0,55,118993,10,0,10,0,-1,0,0,0,1
45182,1,52,146015,9,0,40,0,-1,1,0,0,1
13035,1,19,198668,9,0,40,0,-1,1,1,0,1
24247,1,38,115289,9,0,40,0,-1,1,0,0,1
43551,0,39,222530,10,0,40,0,-1,1,1,0,1
29137,1,21,181096,10,0,20,0,-1,1,1,0,1
18633,1,40,163455,10,0,55,1,-1,1,0,0,1
35513,0,45,86618,14,0,50,1,-1,1,0,0,1
16620,1,40,123306,11,0,40,1,-1,1,0,0,1
30674,1,17,169155,8,0,35,0,-1,1,1,0,1
17700,1,27,220748,9,0,48,0,-1,1,1,0,1
35703,0,28,402771,11,0,23,0,-1,0,1,0,1
2463,1,46,174224,11,0,40,0,-1,1,0,0,1
39379,0,31,192660,11,0,30,0,-1,0,1,0,1
42598,1,60,328011,10,0,20,0,-1,0,1,0,1
47294,1,39,233117,15,0,40,1,-1,1,1,1,0
37428,1,51,145105,10,0,30,0,-1,1,0,0,1
48266,1,32,244268,7,0,48,0,-1,0,1,0,1
5653,1,56,192869,9,0,40,1,-1,1,0,0,1
31570,0,31,190027,9,0,40,0,1,1,1,0,1
26782,1,49,122584,4,0,40,0,-1,0,0,0,1
41803,1,55,102058,13,0,40,1,-1,1,0,1,0
25694,1,36,67728,13,0,50,1,-1,1,0,1,0
39367,1,40,246949,9,0,40,0,-1,1,1,0,1
18533,0,20,238685,10,0,32,0,-1,1,1,0,1
11497,1,27,120126,13,0,45,1,-1,1,0,1,0
3617,1,17,354201,9,0,40,0,-1,1,1,0,1
13909,0,19,98605,10,0,20,0,-1,1,0,0,1
31723,1,35,189092,13,0,40,1,-1,1,0,1,0
7565,0,41,277390,13,0,30,1,-1,0,1,0,1
4865,1,22,162869,10,0,65,0,-1,0,1,1,1
39544,0,37,229647,9,0,42,0,-1,1,1,0,1
10941,1,58,373344,2,0,40,0,-1,0,1,0,1
15482,1,28,114053,10,0,30,0,-1,1,0,0,1
4878,1,29,206351,6,5013,40,0,-1,0,1,0,1
13433,1,44,175641,7,0,40,1,-1,1,0,0,1
4273,0,23,257621,13,0,45,0,-1,1,1,0,1
29060,1,28,314649,10,0,60,0,-1,0,1,0,1
30244,1,22,408383,10,0,40,0,-1,1,1,0,1
44331,1,39,256294,9,0,40,0,-1,1,1,0,1
25834,0,66,302072,12,0,40,0,-1,0,0,0,1
47079,0,46,178642,9,0,40,1,0,1,0,0,1
