,Unnamed: 0,marital,age,balance,duration,GroundTruth,GroundTruth_DB,FairDEN,FairSC_normalized,FairSC
0,23641,2,43,1077,48,0,0,0,0,1
1,19562,2,32,4291,1321,1,0,1,0,1
2,14019,1,54,95,104,0,0,0,0,1
3,31464,1,41,523,232,0,0,0,1,1
4,6479,1,35,712,266,0,0,0,1,0
5,11358,1,60,6313,39,0,0,1,0,1
6,5952,1,33,941,218,0,0,0,1,0
7,32937,1,34,2076,257,0,0,0,1,1
8,37939,1,29,940,382,1,0,0,1,0
9,6858,1,36,428,121,0,0,0,1,0
10,20028,1,32,312,67,0,0,0,1,0
11,17651,1,34,147,57,0,0,0,1,0
12,7158,1,48,1910,413,0,0,1,0,1
13,13590,1,51,3180,384,0,0,1,0,1
14,28052,2,35,343,45,0,0,0,1,1
15,16179,0,48,485,84,0,0,0,0,1
16,16221,1,34,804,256,0,0,0,1,0
17,9945,1,41,0,65,0,0,0,1,1
18,26489,2,49,7426,65,0,0,1,0,1
19,34345,1,37,0,108,0,0,0,1,0
20,34323,1,41,0,400,1,0,0,0,1
21,42782,1,32,905,666,1,0,0,0,1
22,22642,2,33,369,143,0,0,0,1,1
23,179,1,51,1161,717,0,0,1,0,1
24,29287,2,31,863,146,0,0,0,1,1
25,39949,2,31,582,548,1,0,0,0,1
26,5006,1,38,63,518,0,0,0,0,1
27,1524,1,33,61,116,0,0,0,1,0
28,12409,1,51,-101,60,0,0,0,0,1
29,29324,1,32,4471,197,0,0,0,0,1
30,4654,1,58,99,215,0,0,0,0,1
31,35278,2,35,142,266,0,0,0,0,1
32,37674,2,46,-976,111,0,0,1,0,1
33,23692,1,36,432,65,0,0,0,1,0
34,15182,1,36,708,59,0,0,0,1,0
35,18306,1,37,704,183,0,0,0,1,0
36,16993,2,26,0,129,0,0,0,1,1
37,40079,2,29,2800,202,0,0,0,0,1
38,34296,2,35,188,863,1,0,1,0,1
39,10405,1,48,916,37,0,0,0,0,1
40,9911,1,60,2261,245,0,0,1,0,1
41,3559,1,42,1320,301,0,0,0,0,1
42,1937,2,31,12,330,0,0,0,0,1
43,11025,2,36,171,398,0,0,0,0,1
44,6910,2,40,-89,83,0,0,0,0,1
45,41990,1,33,386,253,1,0,0,1,0
46,40310,1,52,1113,83,0,0,0,0,1
47,40803,1,33,1737,228,0,0,0,1,0
48,10248,2,40,316,122,0,0,0,0,1
49,21708,0,35,82,152,0,0,0,1,1
50,18358,0,39,284,180,0,0,0,1,1
51,13639,1,52,350,156,0,0,0,0,1
52,17836,1,33,66,189,0,0,0,1,0
53,9874,1,50,861,117,0,0,0,0,1
54,2052,1,44,304,129,0,0,0,0,1
55,20670,1,45,-571,332,0,0,0,0,1
56,34511,0,28,6,211,0,0,0,1,1
57,40388,1,47,1167,505,1,0,1,0,1
58,28185,2,56,545,86,0,0,0,0,1
59,31900,2,34,47,232,0,0,0,0,1
60,43768,1,41,3126,222,1,0,0,0,1
